id,city_id,name,lat,long
5043,712,سالاریه,34.614438,50.84838
5757,712,سوم خرداد - فاطمیه,34.671709,50.848581
4168,712,شهرقائم,34.604764,50.912548
5054,712,شهرک قدس,34.5965093,50.8417307
5061,712,شهید محلاتی,34.618597,50.908441
4174,712,صفاشهر,34.607214907435875,50.83803176879882
7237,712,صفاییه,34.634832203,50.871505737
4175,712,عطاران,34.6213778660363,50.86532592773437
5052,712,عماریاسر,34.650128,50.903504
8183,712,فردوسی,34.60629652745382,50.86472511291504
4181,712,کلهری,34.622048,50.904363
5062,712,معلم,34.635538407980306,50.875282287597656
4187,712,هفت تیر,34.65343867555675,50.88099002838135
4188,712,هنرستان,34.628856,50.888595
4189,712,یزدانشهر,34.6095461340787,50.8878135681152
8702,895,خرفکل,37.10817577103403,49.38766479492187
8700,895,دوبخشر,37.12227511491303,49.33032989501953
8701,895,صیقلان,37.1257653237035,49.43675994873047
8703,895,لپوندان,37.073806182683725,49.323463439941406
8705,895,لیفکوه,37.066272916151654,49.434700012207024
8706,895,مرکز شهر,37.13137669454722,49.36483383178711
8704,895,ویسرود,37.02037231812245,49.34457778930663
8458,896,آلالان,37.72890952922229,48.99597644805908
8459,896,بالاده,37.74326576585172,48.95151615142822
8454,896,پیرهرات,37.68062773223954,48.94040107727051
8451,896,جاده خلخال,37.6539268308419,48.80332946777344
8460,896,خاله سرا,37.69489145133635,49.00722026824951
8450,896,خرجگیل,37.712207993383856,48.901777267456055
8533,896,خلیف آباد,37.70623254583293,48.963918685913086
8534,896,خیابان جلال آل احمد,37.709661696805846,48.994688987731934
8535,896,خیابان شهدا,37.72055923199713,48.98138523101806
8457,896,دیگه سرا,37.63428568830523,48.97653579711914
8531,896,سیاه بیل,37.6526357041521,48.96151542663574
8456,896,سیاه چال,37.73912548208883,48.98099899291992
8530,896,کشاورز محله,37.71414312026595,48.9400577545166
8529,896,کله سرا,37.703312549637594,48.94083023071289
8532,896,گتگ سرا,37.68331087934572,49.01528835296631
8452,896,گیسوم,37.66411914805467,49.015159606933594
8455,896,لمرسفلا,37.7557870178596,48.973703384399414
8461,896,مرکز شهر,37.727755479168266,48.95383358001709
8453,896,نارنجدول,37.73199822176716,48.92709732055664
8494,897,آلمان لنگه,37.09804452471253,50.066800117492676
8507,897,اربولنگه,37.09732570238325,50.129756927490234
8486,897,اشیان,37.115191549440055,50.098257064819336
8492,897,اکبرسرا,37.11987978046699,50.12857675552368
8487,897,بلوردکان,37.037913733226276,50.04238128662109
8496,897,پروش,37.13137669454722,50.110273361206055
8512,897,چهارسوپشته,37.10143316669028,50.146794319152825
8493,897,خانه پشتان,37.09534034814011,50.11340618133545
8504,897,خمیرمحله,37.10533505150884,50.124478340148926
8498,897,سادات محله,37.113275108646555,50.14267444610596
8491,897,شکرکش,37.09017133704488,50.09302139282226
8485,897,کیش پشت,37.11933226480877,50.11533737182617
8489,897,لات لیل,37.06969722097324,50.12392044067383
